***Priors	0.5000000000	0.5000000000
a	0.0155309649	0.0199580592
able	0.0001941371	0.0005061827
about	0.0005824112	0.0027478487
above	0.0005824112	0.0006508063
access	0.0001941371	0.0006508063
accomodate	0.0009706853	0.0000723118
account	0.0031061930	0.0013016126
across	0.0003882741	0.0003615590
act	0.0005824112	0.0004338709
activities	0.0013589594	0.0000723118
actual	0.0003882741	0.0002169354
ad	0.0001941371	0.0023139779
add	0.0005824112	0.0007954299
additional	0.0009706853	0.0000723118
address	0.0001941371	0.0016631716
addresses	0.0001941371	0.0003615590
adobe	0.0001941371	0.0005061827
ads	0.0001941371	0.0004338709
advance	0.0007765482	0.0000723118
advertisement	0.0001941371	0.0003615590
advertising	0.0001941371	0.0005061827
advice	0.0001941371	0.0002892472
aeopublishing	0.0001941371	0.0021693543
affiliates	0.0001941371	0.0005061827
africa	0.0001941371	0.0007231181
after	0.0005824112	0.0006508063
again	0.0003882741	0.0003615590
against	0.0009706853	0.0000723118
agent	0.0001941371	0.0002892472
agree	0.0003882741	0.0002169354
agreement	0.0015530965	0.0002169354
akkabay	0.0001941371	0.0003615590
all	0.0031061930	0.0044833321
allocations	0.0009706853	0.0000723118
allow	0.0011648224	0.0002169354
along	0.0001941371	0.0003615590
already	0.0001941371	0.0003615590
also	0.0027179189	0.0018077952
always	0.0001941371	0.0007954299
am	0.0067947971	0.0010123653
america	0.0009706853	0.0001446236
among	0.0005824112	0.0001446236
amount	0.0007765482	0.0002892472
an	0.0031061930	0.0023862897
and	0.0194137061	0.0212596717
announcement	0.0001941371	0.0004338709
another	0.0003882741	0.0005784945
answer	0.0001941371	0.0005784945
answering	0.0001941371	0.0002892472
answers	0.0001941371	0.0005784945
any	0.0023296447	0.0026032251
anyhow	0.0007765482	0.0001446236
anyone	0.0005824112	0.0004338709
anything	0.0007765482	0.0005784945
anywhere	0.0001941371	0.0002892472
aol	0.0001941371	0.0003615590
appeals	0.0001941371	0.0002892472
appear	0.0003882741	0.0002169354
application	0.0001941371	0.0003615590
apply	0.0001941371	0.0002892472
approved	0.0001941371	0.0004338709
are	0.0036886042	0.0065803746
area	0.0003882741	0.0002169354
areas	0.0005824112	0.0001446236
aren	0.0001941371	0.0002892472
around	0.0007765482	0.0001446236
arrangements	0.0001941371	0.0002892472
arrest	0.0001941371	0.0003615590
as	0.0066006601	0.0043387085
aside	0.0001941371	0.0003615590
ask	0.0003882741	0.0005061827
asking	0.0005824112	0.0004338709
assist	0.0001941371	0.0005061827
assistance	0.0001941371	0.0005784945
associated	0.0005824112	0.0002169354
assure	0.0007765482	0.0000723118
at	0.0040768783	0.0040494613
attached	0.0005824112	0.0001446236
audience	0.0001941371	0.0005784945
author	0.0001941371	0.0002892472
automatically	0.0001941371	0.0005061827
available	0.0011648224	0.0005061827
average	0.0001941371	0.0002892472
avoid	0.0001941371	0.0005784945
await	0.0001941371	0.0003615590
away	0.0005824112	0.0004338709
b	0.0005824112	0.0002169354
back	0.0011648224	0.0008677417
background	0.0003882741	0.0005784945
bail	0.0015530965	0.0000723118
bank	0.0001941371	0.0003615590
bankruptcy	0.0013589594	0.0000723118
bannerco	0.0001941371	0.0002892472
bannersgomlm	0.0001941371	0.0005061827
base	0.0001941371	0.0002892472
based	0.0007765482	0.0005784945
basis	0.0001941371	0.0002892472
batch	0.0001941371	0.0002892472
bd	0.0001941371	0.0005784945
be	0.0073772083	0.0073034927
bear	0.0003882741	0.0002169354
because	0.0005824112	0.0010846771
beck	0.0005824112	0.0001446236
become	0.0001941371	0.0004338709
been	0.0027179189	0.0015908598
before	0.0009706853	0.0010123653
began	0.0005824112	0.0001446236
begin	0.0001941371	0.0002892472
beginning	0.0001941371	0.0002892472
being	0.0011648224	0.0002169354
